Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1675714867.1149516,76,1675714867,114460706,,42.339414999999995,-71.08890166666667,27.7,327920.90792125906,4689575.42876768,19,T
1675714868.1128473,77,1675714868,112238645,,42.33943333333333,-71.088915,27.5,327919.85951677646,4689577.491529454,19,T
1675714869.112942,78,1675714869,112473964,,42.33945333333333,-71.08892666666667,27.5,327918.9529614836,4689579.735989052,19,T
1675714870.1130311,79,1675714870,112629175,,42.33947,-71.08893833333333,27.5,327918.03731363866,4689581.610307402,19,T
1675714871.114599,80,1675714871,114149332,,42.339486666666666,-71.08894833333333,27.6,327917.2589682065,4689583.481252807,19,T
1675714872.1164718,81,1675714872,116030693,,42.3395,-71.08896166666666,27.8,327916.19692622,4689584.988803129,19,T
1675714873.1501436,82,1675714873,149727582,,42.33951333333333,-71.08897166666667,28.1,327915.40948837606,4689586.489607379,19,T
1675714874.111514,83,1675714874,111044168,,42.339525,-71.08898,28.4,327914.75480600947,4689587.8019679,19,T
1675714875.1139982,84,1675714875,113517045,,42.33953833333333,-71.08898833333333,28.9,327914.104670611,4689589.299399187,19,T
1675714876.1119242,85,1675714876,111343383,,42.339555000000004,-71.089,28.6,327913.189025477,4689591.173718273,19,T
1675714877.1122687,86,1675714877,111828565,,42.33957166666667,-71.08901,27.7,327912.410682569,4689593.044664313,19,T
1675714878.11143,87,1675714878,111011981,,42.33958833333333,-71.08901999999999,27.1,327911.63234011503,4689594.915610455,19,T
1675714879.113813,88,1675714879,113393068,,42.339605,-71.08903000000001,26.3,327910.853998111,4689596.786556704,19,T
1675714880.1147678,89,1675714880,114290952,,42.33962,-71.08904000000001,25.7,327910.0711097277,4689598.472432355,19,T
1675714881.1122413,90,1675714881,111742496,,42.339635,-71.089045,25.9,327909.7001264648,4689600.14818837,19,T
1675714882.113593,91,1675714882,113148450,,42.33965,-71.08905333333334,25.9,327909.05454032857,4689601.830690922,19,T
1675714883.1142337,92,1675714883,113780736,,42.339665,-71.08906,26.0,327908.5462560374,4689603.509820278,19,T
1675714884.1121743,93,1675714884,111719846,,42.33968166666667,-71.08906666666667,25.9,327908.0425189119,4689605.374020386,19,T
1675714885.1128824,94,1675714885,112380981,,42.33969666666667,-71.08907500000001,25.9,327907.39693374676,4689607.056523129,19,T
1675714886.1136537,95,1675714886,113191366,,42.339711666666666,-71.08908,26.0,327907.02595172887,4689608.732279342,19,T
1675714887.1166587,96,1675714887,116217613,,42.33972833333334,-71.08908666666666,26.0,327906.52221548394,4689610.596479595,19,T
1675714888.1166475,97,1675714888,116132974,,42.33974333333334,-71.08909,26.1,327906.28853526304,4689612.268862558,19,T
1675714889.114966,98,1675714889,114570379,,42.33975999999999,-71.089095,26.9,327905.9221008376,4689614.129689562,19,T
1675714890.1156712,99,1675714890,115249395,,42.339776666666666,-71.08909999999999,27.4,327905.5556666488,4689615.9905165965,19,T
1675714891.1182387,100,1675714891,117655515,,42.33979333333333,-71.089105,27.8,327905.18923268595,4689617.851343662,19,T
1675714892.1177788,101,1675714892,117235422,,42.33980833333333,-71.08911166666667,28.3,327904.68095077074,4689619.5304734,19,T
1675714893.114615,102,1675714893,114133596,,42.339821666666666,-71.08911666666667,28.3,327904.30542327533,4689621.021159119,19,T
1675714894.1145086,103,1675714894,114057540,,42.33983333333334,-71.08912333333333,28.3,327903.78804780333,4689622.330147529,19,T
1675714895.11706,104,1675714895,116588115,,42.339845,-71.08913166666666,28.3,327903.1333714262,4689623.642509366,19,T
1675714896.1149611,105,1675714896,114474773,,42.33985833333333,-71.08914,28.4,327902.48324237566,4689625.139941982,19,T
1675714897.1169958,106,1675714897,116622686,,42.339870000000005,-71.08914833333333,28.4,327901.82856653974,4689626.452303963,19,T
1675714898.1143577,107,1675714898,113913536,,42.33988333333333,-71.08915833333334,28.4,327901.04113703675,4689627.953110147,19,T
1675714899.1159053,108,1675714899,115648269,,42.33989499999999,-71.08916666666667,28.6,327900.38646176737,4689629.265472283,19,T
1675714900.1158645,109,1675714900,115296602,,42.339905,-71.08917666666666,28.8,327899.58993863006,4689630.396137236,19,T
1675714901.1143105,110,1675714901,113883733,,42.339916666666674,-71.08918666666666,28.9,327898.7979629313,4689631.7118730005,19,T
1675714902.1125956,111,1675714902,112136602,,42.33992833333333,-71.08919666666667,29.0,327898.00598754204,4689633.027608863,19,T
1675714903.1504567,112,1675714903,149973154,,42.339938333333336,-71.08920499999999,29.1,327897.3467661593,4689634.154900611,19,T
1675714904.1129727,113,1675714904,112429618,,42.33994666666668,-71.08921333333333,29.1,327896.68299776607,4689635.09712172,19,T
1675714905.1135333,114,1675714905,113045930,,42.339956666666666,-71.08922166666666,29.1,327896.0237768098,4689636.224413607,19,T
1675714906.1128695,115,1675714906,112336635,,42.33996833333334,-71.08923166666666,29.2,327895.23180250224,4689637.540149823,19,T
1675714907.1137671,116,1675714907,113315105,,42.33997666666667,-71.08924,29.4,327894.5680347363,4689638.482371154,19,T
1675714908.114379,117,1675714908,113939523,,42.33998499999999,-71.08924833333334,29.5,327893.9042671573,4689639.424592553,19,T
1675714909.1163816,118,1675714909,115888833,,42.33998166666667,-71.08924833333334,29.2,327893.89517253207,4689639.054451128,19,T
